DATE,CPALTT01USM659N
1985-01-01,3.53287536800787
1985-02-01,3.515625
1985-03-01,3.70370370370371
1985-04-01,3.68574199806014
1985-05-01,3.77176015473887
1985-06-01,3.76084860173579
1985-07-01,3.55427473583095
1985-08-01,3.34928229665073
1985-09-01,3.14285714285714
1985-10-01,3.22886989553656
1985-11-01,3.51377018043685
1985-12-01,3.79867046533714
1986-01-01,3.88625592417062
1986-02-01,3.11320754716981
1986-03-01,2.25563909774437
1986-04-01,1.59027128157158
1986-05-01,1.49114631873253
1986-06-01,1.76579925650557
1986-07-01,1.57699443413729
1986-08-01,1.57407407407406
1986-09-01,1.75438596491229
1986-10-01,1.4719411223551
1986-11-01,1.28440366972478
1986-12-01,1.0978956999085
1987-01-01,1.45985401459855
1987-02-01,2.10430009149132
1987-03-01,3.03308823529411
1987-04-01,3.77532228360957
1987-05-01,3.85674931129477
1987-06-01,3.65296803652968
1987-07-01,3.9269406392694
1987-08-01,4.28441203281677
1987-09-01,4.35571687840288
1987-10-01,4.53309156844969
1987-11-01,4.52898550724636
1987-12-01,4.43438914027149
1988-01-01,4.04676258992805
1988-02-01,3.94265232974908
1988-03-01,3.92506690454951
1988-04-01,3.9041703637977
1988-05-01,3.89036251105217
1988-06-01,3.96475770925109
1988-07-01,4.13005272407733
1988-08-01,4.02097902097903
1988-09-01,4.17391304347827
1988-10-01,4.24978317432784
1988-11-01,4.24610051993069
1988-12-01,4.41941074523399
1989-01-01,4.66724286949007
1989-02-01,4.82758620689656
1989-03-01,4.9785407725322
1989-04-01,5.12382578992315
1989-05-01,5.36170212765957
1989-06-01,5.16949152542373
1989-07-01,4.97890295358651
1989-08-01,4.70588235294117
1989-09-01,4.34056761268781
1989-10-01,4.49251247920133
1989-11-01,4.65502909393181
1989-12-01,4.64730290456429
1990-01-01,5.20231213872831
1990-02-01,5.26315789473684
1990-03-01,5.23303352412099
1990-04-01,4.71161657189277
1990-05-01,4.36187399030692
1990-06-01,4.67365028203064
1990-07-01,4.82315112540193
1990-08-01,5.61797752808991
1990-09-01,6.16000000000002
1990-10-01,6.28980891719745
1990-11-01,6.27482128673552
1990-12-01,6.10626486915148
1991-01-01,5.65149136577706
1991-02-01,5.3125
1991-03-01,4.89510489510491
1991-04-01,4.88750969743984
1991-05-01,4.95356037151703
1991-06-01,4.69591993841415
1991-07-01,4.44785276073617
1991-08-01,3.79939209726441
1991-09-01,3.39110776186886
1991-10-01,2.92134831460676
1991-11-01,2.98953662182363
1991-12-01,3.06427503736921
1992-01-01,2.60029717682023
1992-02-01,2.81899109792284
1992-03-01,3.18518518518521
1992-04-01,3.18047337278109
1992-05-01,3.02359882005902
1992-06-01,3.08823529411764
1992-07-01,3.15712187958886
1992-08-01,3.14787701317718
1992-09-01,2.98833819241985
1992-10-01,3.2023289665211
1992-11-01,3.04789550072568
1992-12-01,2.90065264684553
1993-01-01,3.25850832729904
1993-02-01,3.24675324675325
1993-03-01,3.08686288585782
1993-04-01,3.22580645161289
1993-05-01,3.22118826055832
1993-06-01,2.9957203994294
1993-07-01,2.77580071174377
1993-08-01,2.76792051100071
1993-09-01,2.68931351733899
1993-10-01,2.75035260930887
1993-11-01,2.67605633802818
1993-12-01,2.74841437632137
1994-01-01,2.52454417952315
1994-02-01,2.51572327044024
1994-03-01,2.50696378830085
1994-04-01,2.36111111111112
1994-05-01,2.28848821081833
1994-06-01,2.49307479224376
1994-07-01,2.77008310249307
1994-08-01,2.90055248618784
1994-09-01,2.96347346657478
1994-10-01,2.60809883321897
1994-11-01,2.67489711934155
1994-12-01,2.67489711934155
1995-01-01,2.80437756497948
1995-02-01,2.86298568507159
1995-03-01,2.85326086956521
1995-04-01,3.05291723202171
1995-05-01,3.18644067796609
1995-06-01,3.04054054054054
1995-07-01,2.76280323450135
1995-08-01,2.61744966442953
1995-09-01,2.54350736278446
1995-10-01,2.80936454849496
1995-11-01,2.60521042084169
1995-12-01,2.53841015364062
1996-01-01,2.72787757817698
1996-02-01,2.65076209410206
1996-03-01,2.84015852047556
1996-04-01,2.89664252797895
1996-05-01,2.89093298291723
1996-06-01,2.75409836065573
1996-07-01,2.95081967213115
1996-08-01,2.87769784172663
1996-09-01,3.00261096605745
1996-10-01,2.992843201041
1996-11-01,3.25520833333333
1996-12-01,3.32247557003256
1997-01-01,3.04404145077719
1997-02-01,3.03421562298256
1997-03-01,2.76172125883109
1997-04-01,2.49520153550861
1997-05-01,2.23499361430394
1997-06-01,2.29738353541801
1997-07-01,2.22929936305731
1997-08-01,2.22504767959312
1997-09-01,2.15462610899871
1997-10-01,2.08464939987364
1997-11-01,1.82849936948298
1997-12-01,1.70239596469106
1998-01-01,1.5713387806411
1998-02-01,1.44110275689223
1998-03-01,1.37499999999999
1998-04-01,1.43570536828965
1998-05-01,1.68644597126797
1998-06-01,1.68434185901435
1998-07-01,1.6822429906542
1998-08-01,1.61691542288558
1998-09-01,1.48883374689827
1998-10-01,1.48514851485151
1998-11-01,1.54798761609909
1998-12-01,1.61190328580284
1999-01-01,1.67079207920795
1999-02-01,1.60592958616431
1999-03-01,1.72626387176328
1999-04-01,2.27692307692308
1999-05-01,2.08845208845208
1999-06-01,1.96319018404907
1999-07-01,2.14460784313726
1999-08-01,2.26438188494492
1999-09-01,2.62836185819071
1999-10-01,2.56097560975608
1999-11-01,2.62195121951218
1999-12-01,2.68456375838926
2000-01-01,2.73889227023736
2000-02-01,3.22188449848025
2000-03-01,3.75757575757574
2000-04-01,3.06859205776174
2000-05-01,3.18892900120337
2000-06-01,3.73044524669075
2000-07-01,3.65926814637075
2000-08-01,3.41113105924597
2000-09-01,3.45443716497915
2000-10-01,3.44827586206898
2000-11-01,3.44622697563874
2000-12-01,3.38680926916222
2001-01-01,3.73222748815165
2001-02-01,3.53356890459364
2001-03-01,2.92056074766355
2001-04-01,3.26911850554582
2001-05-01,3.61516034985421
2001-06-01,3.24825986078885
2001-07-01,2.7199074074074
