"","DATE","USEPUINDXM","FEDFUNDS","CPALTT01USM659N","UNRATE","INDPRO","DIFF","unemployment_growth","cpi_growth","rate_diff","INDPRO_growth","cpi_diff","uncertainty_growth"
"151",1997-08-01,63.80988,5.54,2.22504767959312,4.8,83.7214,39,-2.06192872027358,-0.190900471592381,0.0200000000000005,1.03940793055814,-0.00425168346419014,-14.6735370116488
"152",1997-09-01,61.15956,5.54,2.15462610899871,4.9,84.4651,38,2.06192872027358,-3.21611352207982,0,0.884381145031821,-0.07042157059441,-4.24218505051277
"153",1997-10-01,83.65215,5.5,2.08464939987364,4.7,85.1918,37,-4.1672696400568,-3.30165216248716,-0.04,0.856675377572547,-0.0699767091250698,31.3180942643297
"154",1997-11-01,78.39389,5.52,1.82849936948298,4.6,85.9397,36,-2.15062052209638,-13.1105073793777,0.0199999999999996,0.874070246116432,-0.25615003039066,-6.49211387877688
"155",1997-12-01,88.74448,5.5,1.70239596469106,4.7,86.2047,35,2.15062052209638,-7.14589639821394,-0.0199999999999996,0.307881301198165,-0.12610340479192,12.4015238592195
"156",1998-01-01,91.04063,5.56,1.5713387806411,4.6,86.6474,34,-2.15062052209638,-8.01086672791336,0.0599999999999996,0.512230939589564,-0.13105718404996,2.5544661151125
"157",1998-02-01,88.81944,5.51,1.44110275689223,4.6,86.7612,33,0,-8.65193586110147,-0.0499999999999998,0.131250718057441,-0.13023602374887,-2.4700345431433
"158",1998-03-01,78.38832,5.49,1.37499999999999,4.7,86.8198,32,2.15062052209638,-4.69548927889593,-0.0199999999999996,0.0675189130448395,-0.0661027568922401,-12.493060829183
"159",1998-04-01,73.20014,5.45,1.43570536828965,4.3,87.1411,31,-8.89474860164963,4.32025431704175,-0.04,0.369393772220672,0.0607053682896599,-6.84776031322203
"160",1998-05-01,75.85511,5.49,1.68644597126797,4.4,87.6952,30,2.29895182246989,16.0967064706768,0.04,0.633852186491346,0.25074060297832,3.56277398003879
"161",1998-06-01,76.28635,5.56,1.68434185901435,4.5,87.145,29,2.24728558520586,-0.124843961284449,0.0699999999999994,-0.629376786559099,-0.00210411225362006,0.566894986936184
"162",1998-07-01,88.17701,5.54,1.6822429906542,4.5,86.8423,28,0,-0.124688295456776,-0.0199999999999996,-0.347956782373071,-0.00209886836014994,14.4852248235785
"163",1998-08-01,101.40808,5.55,1.61691542288558,4.5,88.6247,27,0,-3.96077421576343,0.00999999999999979,2.0316769647283,-0.06532756776862,13.9806500961316
"164",1998-09-01,123.96147,5.51,1.48883374689827,4.6,88.4515,26,2.1978906718775,-8.25271810011985,-0.04,-0.195622060145251,-0.12808167598731,20.0818019112726
"165",1998-10-01,109.88135,5.07,1.48514851485151,4.5,89.1677,25,-2.1978906718775,-0.247831601445503,-0.44,0.806448719010433,-0.00368523204675997,-12.0569644231396
"166",1998-11-01,92.94632,4.83,1.54798761609909,4.4,89.1098,24,-2.24728558520586,4.14409979445343,-0.24,-0.0649549180751663,0.06283910124758,-16.7379025076275
"167",1998-12-01,91.40618,4.68,1.61190328580284,4.4,89.4407,23,0,4.04598706848098,-0.15,0.370651864691496,0.06391566970375,-1.67090311516773
"168",1999-01-01,98.64504,4.63,1.67079207920795,4.3,89.8594,22,-2.29895182246989,3.58821670270401,-0.0499999999999998,0.46703907145158,0.0588887934051101,7.62148613873288
"169",1999-02-01,82.38359,4.76,1.60592958616431,4.4,90.3386,21,2.29895182246989,-3.95950425794521,0.13,0.531860652855976,-0.0648624930436401,-18.0141685844402
"170",1999-03-01,66.00053,4.81,1.72626387176328,4.2,90.4819,20,-4.65200156348928,7.22566911560062,0.0499999999999998,0.158499760812525,0.12033428559897,-22.1723494299685
"171",1999-04-01,67.53295,4.74,2.27692307692308,4.3,90.7274,19,2.3530497410194,27.6865542380528,-0.0699999999999994,0.270957561450746,0.5506592051598,2.29528546238713
"172",1999-05-01,67.08853,4.74,2.08845208845208,4.2,91.352,18,-2.3530497410194,-8.64018398267161,0,0.686077008162655,-0.188470988471,-0.660253645233499
"173",1999-06-01,73.01112,4.76,1.96319018404907,4.3,91.1994,17,2.3530497410194,-6.18523690547582,0.0199999999999996,-0.16718582880717,-0.12526190440301,8.4598667845917
