"date" "delta_epu" "log_epu"
2015-02-07 -20.8159954097098 3.87140932254285
2015-02-08 45.7084670169996 4.32849399271284
2015-02-09 14.3030508405329 4.47152450111817
2015-02-10 -4.39271649018327 4.42759733621634
2015-02-11 -50.4832234256293 3.92276510196005
2015-02-12 -62.8410815915942 3.29435428604411
2015-02-13 70.6594928578441 4.00094921462255
2015-02-14 3.50597705865896 4.03600898520914
2015-02-15 18.0553209737212 4.21656219494635
2015-02-16 -59.4624146586295 3.62193804836005
2015-02-17 30.3395971127764 3.92533401948782
2015-02-18 -31.037024832405 3.61496377116377
2015-02-19 101.548422200859 4.63044799317236
2015-02-20 -105.726001355462 3.57318797961774
2015-02-21 35.7853031646163 3.93104101126391
2015-02-22 19.9796187317218 4.13083719858113
2015-02-23 20.1079651607305 4.33191685018843
2015-02-24 52.6809693522065 4.8587265437105
2015-02-25 -54.3641314790496 4.31508522892
2015-02-26 -0.281068243657678 4.31227454648342
2015-02-27 44.6731984219535 4.75900653070296
2015-02-28 -51.0225615176439 4.24878091552652
2015-03-01 25.1250952338267 4.50003186786479
2015-03-02 1.59791818034867 4.51601104966827
2015-03-03 -88.7412526439267 3.62859852322901
2015-03-04 87.0544258113555 4.49914278134256
2015-03-05 -26.4891359710051 4.23425142163251
2015-03-06 -38.070534596334 3.85354607566917
2015-03-07 43.0867730137711 4.28441380580688
2015-03-08 -2.78086807941431 4.25660512501274
2015-03-09 -10.8561830456703 4.14804329455604
2015-03-10 29.6605964596955 4.44464925915299
2015-03-11 -65.1635040307046 3.79301421884594
2015-03-12 -26.9599204459539 3.5234150143864
2015-03-13 43.2433470581771 3.95584848496818
2015-03-14 -29.1261723423284 3.66458676154489
2015-03-15 -6.29005191333332 3.60168624241156
2015-03-16 38.6742094218992 3.98842833663055
2015-03-17 -36.3287723483622 3.62514061314693
2015-03-18 73.4129034404336 4.35926964755127
2015-03-19 -39.3895466626125 3.96537418092514
2015-03-20 6.58530719814814 4.03122725290662
2015-03-21 -34.6355820190225 3.6848714327164
2015-03-22 52.0119649592767 4.20499108230916
2015-03-23 47.8528070089904 4.68351915239907
2015-03-24 -114.342977187029 3.54008938052877
2015-03-25 42.4526075018543 3.96461545554732
2015-03-26 -11.9373483809522 3.84524197173779
2015-03-27 26.7106214923881 4.11234818666168
2015-03-28 12.0162842943429 4.2325110296051
2015-03-29 23.4086506519047 4.46659753612415
2015-03-30 -15.7007194714982 4.30959034140917
2015-03-31 17.0583354404236 4.48017369581341
2015-04-01 -3.43510030594478 4.44582269275396
2015-04-02 -112.87318203888 3.31709087236516
2015-04-03 91.9620931143867 4.23671180350902
2015-04-04 57.855722027247 4.81526902378149
2015-04-05 -14.3001094260907 4.67226792952059
2015-04-06 -64.1573394374941 4.03069453514564
2015-04-07 31.4019564644257 4.3447140997899
2015-04-08 -33.5382911894757 4.00933118789514
2015-04-09 -24.2102767370232 3.76722842052491
2015-04-10 -4.68502993516053 3.72037812117331
2015-04-11 29.2394787354982 4.01277290852829
2015-04-12 68.2968975644189 4.69574188417248
2015-04-13 -34.4947951929695 4.35079393224278
2015-04-14 -14.9540054373006 4.20125387786978
2015-04-15 153.612454621494 5.73737842408472
2015-04-16 -182.575549867791 3.91162292540681
2015-04-17 -13.3817262098468 3.77780566330834
2015-04-18 -23.5108719372483 3.54269694393586
2015-04-19 51.7746066610564 4.06044301054642
2015-04-20 -11.5372151072073 3.94507085947435
2015-04-21 -10.454385575127 3.84052700372308
2015-04-22 -23.0690756949592 3.60983624677348
2015-04-23 -9.62034357815398 3.51363281099194
2015-04-24 24.6170981458691 3.75980379245064
2015-04-25 27.4259838886536 4.03406363133717
2015-04-26 41.8887341673409 4.45295097301058
2015-04-27 -89.6746135801185 3.5562048372094
2015-04-28 -14.1433335520122 3.41477150168927
2015-04-29 1.14436429481701 3.42621514463744
2015-04-30 25.4127978454207 3.68034312309165
2015-05-01 -4.67121432081923 3.63363097988346
2015-05-02 3.40248377788521 3.66765581766231
2015-05-03 3.38930395522894 3.7015488572146
2015-05-04 -40.4971524682546 3.29657733253205
2015-05-05 12.4095825630759 3.42067315816281
2015-05-06 32.1510067973435 3.74218322613625
2015-05-07 62.9287894598118 4.37147112073437
